Pin Number,Customer Name,Invoice Number,Invoice Date,CU Number,VAT Group,Base Amount,,,
P051393568M,Autoports Freight Terminals Limited,IN1080,02/03/2026,|0190439340000000455,16,1118894.84,,,
P051137818X,GRAIN INDUSTRIES LIMITED,IN1081,11/03/2026,|0190439340000000456,16,3977701.88,,,
P051352116L,Aspendos Dairy Limited,IN1082,12/03/2026,|0190439340000000457,16,1263600,,,
P051317852J,MAU FLORA LIMITED,IN1083,12/03/2026,|0190439340000000459,16,105000,,,
P051430208L,BIG FLOWERS PLC,IN1084,12/03/2026,|0190439340000000460,16,105000,,,
P051303453V,GULF POWER LIMITED,IN1085,16/03/2026,|0190439340000000465,16,1742083.19,,,
P051421525N,AGRICHEM AFRICA LIMITED,IN1086,16/03/2026,|0190439340000000464,0,-1742083.19,,,
P051129478N,Sunpar Pharmaceuticals Limited,CN23,12/03/2026,|0190439340000000458,16,1019347.99,,,
P000602486X,Kitui Flour Mills Limited,IN1087,26/03/2026,|0190439340000000470,16,1088100,,,
P051111321X,KRISH COMMODITIES LIMITED,IN1088,26/03/2026,|0190439340000000471,16,795750,,,
P051111321X,KRISH COMMODITIES LIMITED,IN1089,26/03/2026,|0190439340000000472,16,269325,,,
P051158683N,FONTANA LIMITED,IN1090,26/03/2026,|0190439340000000473,0,780300,,,
P051430208L,BIG FLOWERS PLC,IN1091,26/03/2026,|0190439340000000474,16,299700,,,
P051317852J,MAU FLORA LIMITED,IN1092,26/03/2026,|0190439340000000475,16,372600,,,
P051519925P,Dale Flora Limited,IN1093,18/03/2026,|0190439340000000469,0,162733.5,,,
P000631382Q,SPIN KNIT LIMITED,IN1094,18/03/2026,|0190439340000000466,16,931500,,,
P051105120G,Buds And Blooms Limited,IN1095,18/03/2026,|0190439340000000468,16,162733.5,,,
P051329069P,Bliss Flora Limited,IN096,18/03/2026,|0190439340000000467,0,325467,,,
P051107777J,MITCHELL COTTS FREIGHT (K) LTD,IN078,27/03/2026,|0190439340000000476,16,3313339.42,,,
